LOC,udc_product_grp,Feb,Mar,Apr,May,Jun,Grand Total
1001,SLAB,115013.87,517775.8,547787.16,488873.2,128585.18,1798035.21
1001,HR,126032.63,571225.53,599167.66,171863.74,105093.14,1573382.7
1001,CRCA,81630.19,412397.72,372192.44,31774.68,964.27,898959.3
1001,CRFH,35935.06,162272.09,146158.59,44485.75,9954.17,398805.66
1001,MGP,0,20384.88,77616,177513.12,70343.46,345857.46
1001,HRPO,26307.65,155922.1,150817.74,8384.76,395.63,341827.88
1001,AS CAST BILLETS,17876.26,91177.61,117653.46,92935.37,19871.99,339514.69
1001,WR - L,21050.97,120354.89,88472.37,26913.63,7196.76,263988.62
1001,GI,18047.57,108460.99,89233.74,10191.17,3262.61,229196.08
1001,HRCTL,7163.27,65502.83,118627.51,20184.71,1208.7,212687.02
1001,TMT,5002.79,91939.1,70047.42,421.91,73.61,167484.83
1001,GA,15503.18,55721.14,26958.17,8602.77,2161.45,108946.71
1001,NOFP,5502.92,29665.73,29098.95,11322.63,2145.2,77735.43
1001,NOSP,6628.99,26369.98,15086.46,3570.56,17.81,51673.8
1001,GL,2646.74,18175.79,13668.13,1680.61,383.16,36554.43
1001,GBAL,2585.84,10343.36,10343.36,10343.36,2585.84,36201.76
1001,ZM,3906.48,13011.1,16504.36,1156.46,283.74,34862.14
1001,TMT-CF,3042.88,13210.85,8498.15,0.08,0.02,24751.98
1001,HR2,0,5336.35,13946.04,7.09,5.41,19294.89
1001,LRPC,2076.51,6663.32,6238.16,34.52,8.64,15021.15
1001,PPGL,38.09,5545.58,5995.85,23,5.75,11608.27
1001,WR - AL,550.05,4725.35,3095.9,210,65.69,8646.99
1001,PPGI,16.58,66.32,66.32,66.32,16.58,232.12
1001,DRI,0,0.01,153.85,-0.08,-0.02,153.76
1002,AS CAST BILLETS,5918.95,38651.4,68177.45,87380.72,27779.89,227908.41
1002,AS CAST BLOOMS,12663.99,61545.43,66837.27,72718.38,12309.05,226074.12
1002,PRB_BRM,13856.76,50182.39,35360.9,625.69,2458.35,102484.09
1002,RCS,3228.87,12996.66,14663.86,8053.05,133.03,39075.47
1002,LPF,4331.79,16013.68,6393.25,4382.02,3110.85,34231.59
1002,AS CAST ROUNDS,2546.58,6965.56,7860.93,7663.77,1759.05,26795.89
1002,GBAL,1675.29,6409.04,7052.18,4203.91,891.77,20232.19
1002,WR - AL,3057.88,11213.6,2339.87,744.4,661.94,18017.69
1002,HTWRC,2058.67,9149.92,4699.78,474.44,218.79,16601.6
1002,WR - L,1559.92,6409.75,1608.62,378.8,493.85,10450.94
1002,HTLPF,490.96,2066.92,0,1176.11,490.96,4224.95
1002,HTPRB_BRM,464.64,1247.26,20.41,30.47,2.87,1765.65
1002,BS,97.89,497.37,130.1,285.15,0,1010.51
1002,HEX,0,0,0,0,0,0
1002,HR,0,0,0,0,0,0
1002,SLAB,0,0,0,0,0,0
1002,MGP,0,0,0,0,0,0
1007,HR,82458.34,432541.33,345652.12,205606.16,75413.2,1141671.15
1007,SLAB,60503.94,240601.76,476377.54,256640.15,59436.96,1093560.35
1007,AS CAST BILLETS,19629.23,90471.21,188428.12,38733.22,3269.14,340530.92
1007,HRCTL,5049.72,34790.24,33037.96,6612.47,1852.05,81342.44
1007,TMT,677.64,48066.01,9615.91,-0.12,-0.03,58359.41
1007,HRPO,1661.2,13491.74,14205.01,3358.38,83.65,32799.98
1007,DRI,0,0,0.08,29694.26,0.05,29694.39
1007,MGP,0,0,0,14934.39,7369.47,22303.86
